parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
"[+, x_0, exp, u-, exp, *, 2.59, x_5]",(x_0+exp(-(exp((2.59*x_5))))),0.6065426468849182,-0.0420237705111503,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} + e^{- e^{2.59 x_{5}}}
"[*, exp, u-, u-, u-, -3.89, u-, u-, u-, u-, x_0]",(exp(-(-(-(-3.89))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{3.89}
"[u-, exp, u-, exp, /, x_0, -3.89]",-(exp(-(exp((x_0/-3.89))))),0.6936892867088318,-0.0547394566237926,200,not_specified,neuralnet-counts-elastic_model,california,- e^{- e^{\frac{x_{0}}{-3.89}}}
"[*, exp, u-, u-, u-, -4.41, u-, u-, u-, u-, x_0]",(exp(-(-(-(-4.41))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{4.41}
"[+, x_0, exp, u-, exp, x_2]",(x_0+exp(-(exp(x_2)))),0.656294047832489,-0.0495324470102787,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} + e^{- e^{x_{2}}}
"[*, u-, u-, exp, u-, x_2, u-, u-, u-, u-, x_0]",(-(-(exp(-(x_2))))*-(-(-(-(x_0))))),1.143605351448059,-0.0632900670170784,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{- x_{2}}
"[*, u-, u-, exp, u-, 3.44, u-, u-, u-, u-, x_0]",(-(-(exp(-(3.44))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,\frac{x_{0}}{31.1869581683095}
"[+, u-, u-, u-, *, -2.02, x_0, cos, u-, u-, u-, x_6]",(-(-(-((-2.02*x_0))))+cos(-(-(-(x_6))))),0.684173047542572,-0.0532082617282867,200,not_specified,neuralnet-counts-elastic_model,california,2.02 x_{0} + \cos{\left(- x_{6} \right)}
"[*, u-, u-, u-, u-, x_0, exp, u-, exp, u-, x_2]",(-(-(-(-(x_0))))*exp(-(exp(-(x_2))))),0.8024702072143555,-0.0621502660214901,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{- e^{- x_{2}}}
"[*, u-, u-, u-, exp, 2.59, u-, u-, u-, u-, x_0]",(-(-(-(exp(2.59))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} \left(- e^{2.59}\right)
"[*, exp, u-, u-, u-, -3.25, u-, u-, u-, u-, x_0]",(exp(-(-(-(-3.25))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{3.25}
"[*, exp, u-, u-, u-, -4.95, u-, u-, u-, u-, x_0]",(exp(-(-(-(-4.95))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{4.95}
"[*, *, u-, x_6, u-, u-, x_6, exp, u-, exp, *, x_6, x_2]",((-(x_6)*-(-(x_6)))*exp(-(exp((x_6*x_2))))),1.2810286283493042,-0.0640266090631485,200,not_specified,neuralnet-counts-elastic_model,california,- x_{6} x_{6} e^{- e^{x_{2} x_{6}}}
"[*, u-, *, u-, *, -2.02, x_2, x_6, u-, u-, exp, log, x_6]",(-((-((-2.02*x_2))*x_6))*-(-(exp(log(abs(x_6)))))),1.347216248512268,-0.0648609772324562,200,not_specified,neuralnet-counts-elastic_model,california,- 2.02 x_{2} x_{6} e^{\log{\left(\left|{x_{6}}\right| \right)}}
"[*, u-, log, u-, u-, 2.82, sin, *, x_0, u-, exp, -1.76]",(-(log(abs(-(-(2.82)))))*sin((x_0*-(exp(-1.76))))),0.6955341696739197,-0.0594532676041126,200,not_specified,neuralnet-counts-elastic_model,california,- \log{\left(2.82 \right)} \sin{\left(x_{0} \left(- \frac{1}{5.81243739440259}\right) \right)}
"[*, x_0, *, u-, u-, u-, -4.95, u-, u-, *, x_6, x_6]",(x_0*(-(-(-(-4.95)))*-(-((x_6*x_6))))),1.078318476676941,-0.0624959245324134,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} \cdot 4.95 x_{6} x_{6}
"[*, u-, u-, u-, u-, x_0, exp, u-, exp, *, x_6, x_2]",(-(-(-(-(x_0))))*exp(-(exp((x_6*x_2))))),0.8571079969406128,-0.0623442716896534,200,not_specified,neuralnet-counts-elastic_model,california,x_{0} e^{- e^{x_{2} x_{6}}}
"[*, u-, *, u-, *, -2.02, x_6, x_6, u-, u-, exp, log, x_6]",(-((-((-2.02*x_6))*x_6))*-(-(exp(log(abs(x_6)))))),1.28410005569458,-0.0647038146853447,200,not_specified,neuralnet-counts-elastic_model,california,- x_{6} \cdot 2.02 x_{6} e^{\log{\left(\left|{x_{6}}\right| \right)}}
"[*, u-, u-, exp, u-, 2.22, u-, u-, u-, u-, x_0]",(-(-(exp(-(2.22))))*-(-(-(-(x_0))))),0.701570987701416,-0.0619496405124664,200,not_specified,neuralnet-counts-elastic_model,california,\frac{x_{0}}{9.20733086588225}
"[u-, x_6]",-(x_6),1.3185135126113892,-0.1396161615848541,201,not_specified,neuralnet-counts-elastic_model,california,- x_{6}
"[u-, x_0]",-(x_0),0.701570987701416,-0.1363300532102584,201,not_specified,neuralnet-counts-elastic_model,california,- x_{0}
"[**3, x_6]",(x_6)**3,1.2858779430389404,-0.1388033181428909,201,not_specified,neuralnet-counts-elastic_model,california,x_{6}^{3}
"[u-, cos, u-, x_2]",-(cos(-(x_2))),1.259845733642578,-0.1365371644496917,201,not_specified,neuralnet-counts-elastic_model,california,- \cos{\left(- x_{2} \right)}
"[+, *, sqrt, cos, sin, x_2, x_0, cos, -, u-, exp, x_7, x_6]",((sqrt(abs(cos(sin(x_2))))*x_0)+cos((-(exp(x_7))-x_6))),0.6109967827796936,-0.0852905958890914,201,not_specified,neuralnet-counts-elastic_model,california,x_{0} \sqrt{\left|{\cos{\left(\sin{\left(x_{2} \right)} \right)}}\right|} + \cos{\left(- x_{6} - e^{x_{7}} \right)}
"[+, *, sqrt, cos, sin, 1.17, x_0, cos, -, u-, exp, x_7, x_6]",((sqrt(abs(cos(sin(1.17))))*x_0)+cos((-(exp(x_7))-x_6))),0.6100425124168396,-0.0845663100481033,201,not_specified,neuralnet-counts-elastic_model,california,x_{0} \sqrt{\cos{\left(\sin{\left(1.17 \right)} \right)}} + \cos{\left(- x_{6} - e^{x_{7}} \right)}
"[+, x_0, sqrt, exp, u-, x_2]",(x_0+sqrt(abs(exp(-(x_2))))),0.6811449527740479,-0.1308167576789856,201,not_specified,neuralnet-counts-elastic_model,california,x_{0} + \sqrt{e^{- \operatorname{re}{\left(x_{2}\right)}}}
"[+, +, x_0, sqrt, +, exp, x_1, x_0, cos, -, u-, exp, x_7, x_6]",((x_0+sqrt(abs((exp(x_1)+x_0))))+cos((-(exp(x_7))-x_6))),0.5914560556411743,-0.0834584087133407,201,not_specified,neuralnet-counts-elastic_model,california,x_{0} + \cos{\left(- x_{6} - e^{x_{7}} \right)} + \sqrt{\left|{x_{0} + e^{x_{1}}}\right|}
"[+, *, sqrt, cos, sqrt, -0.33, x_0, cos, -, u-, exp, x_7, x_6]",((sqrt(abs(cos(sqrt(abs(-0.33)))))*x_0)+cos((-(exp(x_7))-x_6))),0.6134692430496216,-0.0877112448215484,201,not_specified,neuralnet-counts-elastic_model,california,x_{0} \sqrt{\cos{\left(\sqrt{0.33} \right)}} + \cos{\left(- x_{6} - e^{x_{7}} \right)}
"[+, x_0, -, u-, exp, x_7, x_6]",(x_0+(-(exp(x_7))-x_6)),0.61421799659729,-0.1296421885490417,201,not_specified,neuralnet-counts-elastic_model,california,x_{0} - x_{6} - e^{x_{7}}
"[sqrt, -, x_0, u-, exp, u-, -3.08]",sqrt(abs((x_0--(exp(-(-3.08)))))),0.69967120885849,0.068280279636383,202,not_specified,neuralnet-counts-elastic_model,california,\sqrt{\left|{x_{0} - - e^{3.08}}\right|}
"[u-, u-, x_0]",-(-(x_0)),0.701570987701416,0.0606457144021987,202,not_specified,neuralnet-counts-elastic_model,california,x_{0}
"[u-, u-, -, u-, cos, x_6, x_0]",-(-((-(cos(x_6))-x_0))),0.6931280493736267,0.0699860081076622,202,not_specified,neuralnet-counts-elastic_model,california,- x_{0} - \cos{\left(x_{6} \right)}
"[sin, exp, u-, sqrt, exp, x_0]",sin(exp(-(sqrt(abs(exp(x_0)))))),0.6995432376861572,0.0683534666895866,202,not_specified,neuralnet-counts-elastic_model,california,\sin{\left(e^{- \sqrt{e^{\operatorname{re}{\left(x_{0}\right)}}}} \right)}
"[u-, u-, u-, u-, exp, x_0]",-(-(-(-(exp(x_0))))),1.2220845222473145,0.0588113591074943,202,not_specified,neuralnet-counts-elastic_model,california,e^{x_{0}}
"[u-, u-, u-, u-, u-, x_4]",-(-(-(-(-(x_4))))),1.346515417098999,0.0580630339682102,202,not_specified,neuralnet-counts-elastic_model,california,- x_{4}
"[u-, u-, u-, u-, exp, x_7]",-(-(-(-(exp(x_7))))),1.3428289890289309,0.0585741586983203,202,not_specified,neuralnet-counts-elastic_model,california,e^{x_{7}}
"[u-, u-, u-, u-, u-, x_7]",-(-(-(-(-(x_7))))),1.3449324369430542,0.0582832768559455,202,not_specified,neuralnet-counts-elastic_model,california,- x_{7}
"[-, x_0, cos, u-, exp, u-, x_5]",(x_0-cos(-(exp(-(x_5))))),0.6331466436386108,0.0711461678147316,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \cos{\left(- e^{- x_{5}} \right)}
"[**3, u-, u-, u-, u-, x_0]",(-(-(-(-(x_0)))))**3,1.1800291538238523,0.0602398887276649,202,not_specified,neuralnet-counts-elastic_model,california,x_{0}^{3}
"[-, x_0, **, sin, sqrt, x_6, **2, exp, u-, x_5]",(x_0-(sin(sqrt(abs(x_6)))**(exp(-(x_5)))**2)),0.585417628288269,0.095206081867218,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \sin^{\left(e^{- x_{5}}\right)^{2}}{\left(\sqrt{\left|{x_{6}}\right|} \right)}
"[-, x_0, **, sin, sqrt, sqrt, x_6, **2, exp, u-, x_5]",(x_0-(sin(sqrt(abs(sqrt(abs(x_6)))))**(exp(-(x_5)))**2)),0.5758088827133179,0.0978135541081428,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \sin^{\left(e^{- x_{5}}\right)^{2}}{\left(\sqrt{\sqrt{\left|{x_{6}}\right|}} \right)}
"[-, x_0, **3, sin, u-, u-, x_5]",(x_0-(sin(-(-(x_5))))**3),0.6322932243347168,0.0722163096070289,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \sin^{3}{\left(x_{5} \right)}
"[-, x_0, cos, sqrt, exp, u-, x_5]",(x_0-cos(sqrt(abs(exp(-(x_5)))))),0.5942608118057251,0.0750112533569336,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \cos{\left(\sqrt{e^{- \operatorname{re}{\left(x_{5}\right)}}} \right)}
"[-, x_0, cos, u-, -, x_5, cos, x_6]",(x_0-cos(-((x_5-cos(x_6))))),0.58829665184021,0.0822494029998779,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \cos{\left(- x_{5} + \cos{\left(x_{6} \right)} \right)}
"[-, x_0, **, **, sin, sqrt, x_6, exp, x_1, **2, exp, u-, x_5]",(x_0-((sin(sqrt(abs(x_6)))**exp(x_1))**(exp(-(x_5)))**2)),0.5588514804840088,0.1194022670388221,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \left(\sin^{e^{x_{1}}}{\left(\sqrt{\left|{x_{6}}\right|} \right)}\right)^{\left(e^{- x_{5}}\right)^{2}}
"[-, -, x_0, **, sin, x_6, **2, **3, x_7, **, sin, sqrt, sqrt, x_6, **2, exp, u-, x_5]",((x_0-(sin(x_6)**((x_7)**3)**2))-(sin(sqrt(abs(sqrt(abs(x_6)))))**(exp(-(x_5)))**2)),0.5526461005210876,0.1441827267408371,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \sin^{\left(x_{7}^{3}\right)^{2}}{\left(x_{6} \right)} - \sin^{\left(e^{- x_{5}}\right)^{2}}{\left(\sqrt{\sqrt{\left|{x_{6}}\right|}} \right)}
"[u-, u-, sin, u-, u-, x_0]",-(-(sin(-(-(x_0))))),0.9187192916870116,0.060341190546751,202,not_specified,neuralnet-counts-elastic_model,california,\sin{\left(x_{0} \right)}
"[-, x_0, **, **, sin, sqrt, x_7, exp, x_1, **2, exp, u-, x_5]",(x_0-((sin(sqrt(abs(x_7)))**exp(x_1))**(exp(-(x_5)))**2)),0.5744818449020386,0.116494596004486,202,not_specified,neuralnet-counts-elastic_model,california,x_{0} - \left(\sin^{e^{x_{1}}}{\left(\sqrt{\left|{x_{7}}\right|} \right)}\right)^{\left(e^{- x_{5}}\right)^{2}}
"[u-, exp, u-, **2, exp, x_4]",-(exp(-((exp(x_4))**2))),1.3451656103134155,-0.0651873424649238,203,not_specified,neuralnet-counts-elastic_model,california,- e^{- \left(e^{x_{4}}\right)^{2}}
"[u-, exp, u-, exp, u-, -3.91]",-(exp(-(exp(-(-3.91))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- \frac{1}{e^{e^{3.91}}}
"[u-, exp, u-, exp, u-, x_0]",-(exp(-(exp(-(x_0))))),0.714288055896759,-0.0611951947212219,203,not_specified,neuralnet-counts-elastic_model,california,- e^{- e^{- x_{0}}}
"[u-, exp, u-, exp, u-, -2.12]",-(exp(-(exp(-(-2.12))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- \frac{1}{e^{e^{2.12}}}
"[u-, u-, exp, u-, exp, x_4]",-(-(exp(-(exp(x_4))))),1.3455333709716797,-0.0652799531817436,203,not_specified,neuralnet-counts-elastic_model,california,e^{- e^{x_{4}}}
"[u-, exp, u-, u-, exp, 4.83]",-(exp(-(-(exp(4.83))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{4.83}}
"[exp, exp, u-, exp, u-, x_0]",exp(exp(-(exp(-(x_0))))),0.6929733157157898,-0.059832826256752,203,not_specified,neuralnet-counts-elastic_model,california,e^{e^{- e^{- x_{0}}}}
"[u-, exp, u-, exp, u-, x_5]",-(exp(-(exp(-(x_5))))),1.2418156862258911,-0.0621428787708282,203,not_specified,neuralnet-counts-elastic_model,california,- e^{- e^{- x_{5}}}
"[u-, u-, exp, exp, u-, -4.75]",-(-(exp(exp(-(-4.75))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{e^{4.75}}
"[u-, u-, exp, u-, exp, 4.83]",-(-(exp(-(exp(4.83))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- e^{4.83}}
"[u-, exp, u-, u-, exp, -4.54]",-(exp(-(-(exp(-4.54))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{-4.54}}
"[-, exp, u-, exp, u-, x_5, x_0]",(exp(-(exp(-(x_5))))-x_0),0.6268203258514404,-0.0501303374767303,203,not_specified,neuralnet-counts-elastic_model,california,- x_{0} + e^{- e^{- x_{5}}}
"[u-, u-, exp, u-, exp, 0.8]",-(-(exp(-(exp(0.8))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- e^{0.8}}
"[u-, exp, u-, u-, exp, -3.91]",-(exp(-(-(exp(-3.91))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{-3.91}}
"[u-, exp, exp, u-, u-, -0.73]",-(exp(exp(-(-(-0.73))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{-0.73}}
"[u-, exp, u-, exp, u-, -4.52]",-(exp(-(exp(-(-4.52))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- \frac{1}{e^{e^{4.52}}}
"[u-, exp, u-, exp, u-, -4.54]",-(exp(-(exp(-(-4.54))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- \frac{1}{e^{e^{4.54}}}
"[**2, exp, u-, exp, u-, x_0]",(exp(-(exp(-(x_0)))))**2,0.6962592005729675,-0.0611199215054512,203,not_specified,neuralnet-counts-elastic_model,california,\left(e^{- e^{- x_{0}}}\right)^{2}
"[-, exp, *, -0.35, exp, x_0, exp, u-, exp, exp, x_5]",(exp((-0.35*exp(x_0)))-exp(-(exp(exp(x_5))))),0.5780547261238098,-0.0175183564424514,203,not_specified,neuralnet-counts-elastic_model,california,- e^{- e^{e^{x_{5}}}} + e^{- 0.35 e^{x_{0}}}
"[exp, u-, exp, u-, exp, x_5]",exp(-(exp(-(exp(x_5))))),1.2413253784179688,-0.0612207651138305,203,not_specified,neuralnet-counts-elastic_model,california,e^{- e^{- e^{x_{5}}}}
"[u-, exp, u-, u-, exp, 1.98]",-(exp(-(-(exp(1.98))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{1.98}}
"[u-, u-, exp, u-, exp, -3.91]",-(-(exp(-(exp(-3.91))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- \frac{1}{49.8989519734079}}
"[exp, u-, u-, exp, u-, 0.65]",exp(-(-(exp(-(0.65))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{e^{-0.65}}
"[u-, u-, exp, exp, u-, 1.63]",-(-(exp(exp(-(1.63))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{e^{-1.63}}
"[exp, u-, exp, u-, u-, -4.75]",exp(-(exp(-(-(-4.75))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- \frac{1}{115.584284527188}}
"[u-, u-, exp, u-, exp, 1.98]",-(-(exp(-(exp(1.98))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- e^{1.98}}
"[u-, exp, u-, u-, exp, -3.11]",-(exp(-(-(exp(-3.11))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{-3.11}}
"[u-, u-, exp, u-, exp, 1.01]",-(-(exp(-(exp(1.01))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- e^{1.01}}
"[u-, u-, exp, exp, u-, -3.91]",-(-(exp(exp(-(-3.91))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{e^{3.91}}
"[-, -, exp, u-, exp, x_1, x_0, exp, u-, **2, exp, x_5]",((exp(-(exp(x_1)))-x_0)-exp(-((exp(x_5))**2))),0.5621566772460938,-0.0043558329343795,203,not_specified,neuralnet-counts-elastic_model,california,- x_{0} - e^{- \left(e^{x_{5}}\right)^{2}} + e^{- e^{x_{1}}}
"[u-, exp, exp, u-, u-, -4.75]",-(exp(exp(-(-(-4.75))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{-4.75}}
"[u-, exp, u-, u-, exp, 2.1]",-(exp(-(-(exp(2.1))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- e^{e^{2.1}}
"[-, -, u-, sin, -, x_1, x_5, x_0, x_0]",((-(sin((x_1-x_5)))-x_0)-x_0),0.5885435938835144,-0.024122878909111,203,not_specified,neuralnet-counts-elastic_model,california,- x_{0} - x_{0} - \sin{\left(x_{1} - x_{5} \right)}
"[u-, exp, u-, exp, u-, 0.65]",-(exp(-(exp(-(0.65))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- \frac{1}{e^{e^{-0.65}}}
"[exp, u-, u-, exp, u-, -4.54]",exp(-(-(exp(-(-4.54))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{e^{4.54}}
"[u-, exp, u-, exp, u-, -3.82]",-(exp(-(exp(-(-3.82))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,- \frac{1}{e^{e^{3.82}}}
"[u-, u-, exp, u-, exp, -3.82]",-(-(exp(-(exp(-3.82))))),1.347643256187439,-0.0682239755988121,203,not_specified,neuralnet-counts-elastic_model,california,e^{- \frac{1}{45.6042083208487}}
