parsable_tree,readable_tree,accuracy,interpretability,seed,encoder_type,ground_truth_type,data,latex_tree
[x_4],x_4,23.15311622619629,-78.9000015258789,200,not_specified,phi,windspeed,x_{4}
"[-, x_4, x_6]",(x_4-x_6),22.26861572265625,-78.0,200,not_specified,phi,windspeed,x_{4} - x_{6}
"[-, -, x_4, x_6, -, +, u-, x_4, u-, x_2, **, exp, -4.51, x_3]",((x_4-x_6)-((-(x_4)+-(x_2))-(exp(-4.51)**x_3))),20.18041038513184,-56.5,200,not_specified,phi,windspeed,x_{4} - x_{6} - \left(- x_{2} - x_{4} - \left(e^{-4.51}\right)^{x_{3}}\right)
"[+, x_4, -, x_4, x_6]",(x_4+(x_4-x_6)),21.78754425048828,-77.0999984741211,200,not_specified,phi,windspeed,x_{4} + x_{4} - x_{6}
"[+, /, x_4, x_2, /, -, x_4, x_6, x_2]",((x_4/x_2)+((x_4-x_6)/x_2)),21.567907333374023,-75.30000305175781,200,not_specified,phi,windspeed,\frac{x_{4}}{x_{2}} + \frac{x_{4} - x_{6}}{x_{2}}
"[-, +, sqrt, x_4, x_4, u-, -, +, -1.13, x_4, x_6]",((sqrt(abs(x_4))+x_4)--(((-1.13+x_4)-x_6))),21.43380546569824,-66.0,200,not_specified,phi,windspeed,x_{4} - \left(- x_{4} + x_{6} + 1.13\right) + \sqrt{\left|{x_{4}}\right|}
"[-, +, -, x_4, x_6, **2, **, exp, -4.51, x_3, u-, -, -, x_4, x_6, +, u-, x_4, u-, x_2]",(((x_4-x_6)+((exp(-4.51)**x_3))**2)--(((x_4-x_6)-(-(x_4)+-(x_2))))),20.133384704589844,-45.400001525878906,200,not_specified,phi,windspeed,x_{4} - x_{6} - \left(- x_{2} - 2 x_{4} + x_{6}\right) + \left(\left(e^{-4.51}\right)^{x_{3}}\right)^{2}
"[-, +, -, +, -1.13, x_4, +, u-, x_4, u-, x_4, **, -, x_2, x_2, x_3, u-, -, -, x_4, x_6, +, x_6, *, x_2, x_5]",((((-1.13+x_4)-(-(x_4)+-(x_4)))+((x_2-x_2)**x_3))--(((x_4-x_6)-(x_6+(x_2*x_5))))),20.782594680786133,-59.0,200,not_specified,phi,windspeed,x_{4} + \left(- x_{2} + x_{2}\right)^{x_{3}} - \left(- x_{4} - x_{4}\right) - \left(x_{2} x_{5} - x_{4} + 2 x_{6}\right) - 1.13
"[-, x_4, -, +, u-, x_4, u-, -, x_2, x_6, **, exp, -4.51, x_3]",(x_4-((-(x_4)+-((x_2-x_6)))-(exp(-4.51)**x_3))),20.18041038513184,-56.5,200,not_specified,phi,windspeed,x_{4} - \left(- x_{4} - \left(x_{2} - x_{6}\right) - \left(e^{-4.51}\right)^{x_{3}}\right)
"[-, /, x_2, x_2, u-, -, -, x_4, x_6, u-, +, -1.13, x_4]",((x_2/x_2)--(((x_4-x_6)--((-1.13+x_4))))),21.458776473999023,-73.0,200,not_specified,phi,windspeed,- (- 2 x_{4} + x_{6} + 1.13) + \frac{x_{2}}{x_{2}}
"[u-, -, +, u-, x_4, u-, *, x_1, x_4, -, -, x_4, x_6, +, sin, x_3, *, x_1, x_6]",-(((-(x_4)+-((x_1*x_4)))-((x_4-x_6)-(sin(x_3)+(x_1*x_6))))),21.052143096923828,-61.900001525878906,200,not_specified,phi,windspeed,x_{1} x_{4} + 2 x_{4} - x_{6} - \left(x_{1} x_{6} + \sin{\left(x_{3} \right)}\right)
"[+, -, +, -1.13, x_4, +, x_6, u-, x_4, x_2]",(((-1.13+x_4)-(x_6+-(x_4)))+x_2),21.51306533813477,-74.5999984741211,200,not_specified,phi,windspeed,x_{2} + x_{4} - \left(- x_{4} + x_{6}\right) - 1.13
"[-, +, -, +, -1.13, x_4, +, u-, x_2, x_6, +, -1.13, x_4, u-, -, -, x_4, x_6, +, u-, x_4, *, x_2, x_6]",((((-1.13+x_4)-(-(x_2)+x_6))+(-1.13+x_4))--(((x_4-x_6)-(-(x_4)+(x_2*x_6))))),21.454347610473636,-67.80000305175781,200,not_specified,phi,windspeed,x_{4} + x_{4} - \left(- x_{2} + x_{6}\right) - \left(x_{2} x_{6} - 2 x_{4} + x_{6}\right) - 1.13 - 1.13
"[-, +, -, +, x_4, x_4, +, u-, x_4, u-, x_4, **, -, x_2, x_2, x_3, -3.04]",((((x_4+x_4)-(-(x_4)+-(x_4)))+((x_2-x_2)**x_3))--3.04),21.418201446533203,-63.29999923706055,200,not_specified,phi,windspeed,x_{4} + x_{4} + \left(- x_{2} + x_{2}\right)^{x_{3}} - \left(- x_{4} - x_{4}\right) - -3.04
"[-, -, x_4, x_6, +, u-, **, exp, -4.51, x_3, u-, x_4]",((x_4-x_6)-(-((exp(-4.51)**x_3))+-(x_4))),20.437644958496094,-57.400001525878906,200,not_specified,phi,windspeed,x_{4} - x_{6} - \left(- x_{4} - \left(e^{-4.51}\right)^{x_{3}}\right)
"[-, -, +, x_4, x_4, +, u-, x_4, u-, x_2, +, x_6, u-, **, -, x_2, x_2, x_3]",(((x_4+x_4)-(-(x_4)+-(x_2)))-(x_6+-(((x_2-x_2)**x_3)))),21.16636848449707,-62.59999847412109,200,not_specified,phi,windspeed,x_{4} + x_{4} - \left(- x_{2} - x_{4}\right) - \left(x_{6} - \left(- x_{2} + x_{2}\right)^{x_{3}}\right)
[x_4],x_4,23.15311622619629,-78.9000015258789,201,not_specified,phi,windspeed,x_{4}
"[-, x_6, x_4]",(x_6-x_4),22.26861572265625,-78.0,201,not_specified,phi,windspeed,- x_{4} + x_{6}
"[+, +, x_4, u-, x_6, x_4]",((x_4+-(x_6))+x_4),21.78754425048828,-76.4000015258789,201,not_specified,phi,windspeed,x_{4} + x_{4} - x_{6}
"[-, x_4, sin, +, x_3, x_6]",(x_4-sin((x_3+x_6))),21.248558044433597,-68.5,201,not_specified,phi,windspeed,x_{4} - \sin{\left(x_{3} + x_{6} \right)}
"[-, +, x_2, x_4, -, x_6, x_4]",((x_2+x_4)-(x_6-x_4)),21.51306533813477,-76.19999694824219,201,not_specified,phi,windspeed,x_{2} + x_{4} - \left(- x_{4} + x_{6}\right)
"[+, u-, u-, +, x_4, u-, x_6, -, x_4, *, x_2, x_4]",(-(-((x_4+-(x_6))))+(x_4-(x_2*x_4))),21.37651252746582,-73.19999694824219,201,not_specified,phi,windspeed,- x_{2} x_{4} + x_{4} + \left(x_{4} - x_{6}\right)
"[+, +, x_4, u-, x_6, +, exp, u-, x_3, x_4]",((x_4+-(x_6))+(exp(-(x_3))+x_4)),21.01975440979004,-66.19999694824219,201,not_specified,phi,windspeed,x_{4} + x_{4} - x_{6} + e^{- x_{3}}
"[+, -, x_4, sin, +, x_3, x_6, -, x_4, +, -, x_6, x_4, x_4]",((x_4-sin((x_3+x_6)))+(x_4-((x_6-x_4)+x_4))),20.99791145324707,-64.9000015258789,201,not_specified,phi,windspeed,x_{4} + x_{4} - \left(- x_{4} + x_{4} + x_{6}\right) - \sin{\left(x_{3} + x_{6} \right)}
"[+, +, -, x_4, sin, +, x_3, x_6, +, exp, x_4, x_2, -, exp, +, x_4, u-, x_6, sin, u-, **, x_2, x_3]",(((x_4-sin((x_3+x_6)))+(exp(x_4)+x_2))+(exp((x_4+-(x_6)))-sin(-((x_2**x_3))))),20.17752456665039,-41.5,201,not_specified,phi,windspeed,x_{2} + x_{4} + e^{x_{4}} + e^{x_{4} - x_{6}} - \sin{\left(- x_{2}^{x_{3}} \right)} - \sin{\left(x_{3} + x_{6} \right)}
"[-, +, +, +, x_4, u-, x_6, x_4, u-, *, x_2, x_6, sin, u-, u-, +, x_3, x_1]",((((x_4+-(x_6))+x_4)+-((x_2*x_6)))-sin(-(-((x_3+x_1))))),20.74137115478516,-62.09999847412109,201,not_specified,phi,windspeed,- x_{2} x_{6} + x_{4} + x_{4} - x_{6} - \sin{\left(x_{1} + x_{3} \right)}
"[+, sin, +, x_2, x_4, +, exp, u-, +, x_3, x_3, exp, +, x_4, u-, x_6]",(sin((x_2+x_4))+(exp(-((x_3+x_3)))+exp((x_4+-(x_6))))),20.430450439453125,-56.20000076293945,201,not_specified,phi,windspeed,e^{x_{4} - x_{6}} + \sin{\left(x_{2} + x_{4} \right)} + e^{- 2 x_{3}}
"[+, +, x_4, u-, x_6, +, sqrt, **, x_0, x_3, x_4]",((x_4+-(x_6))+(sqrt(abs((x_0**x_3)))+x_4)),20.610536575317383,-58.09999847412109,201,not_specified,phi,windspeed,x_{4} + x_{4} - x_{6} + \sqrt{\left|{x_{0}^{x_{3}}}\right|}
"[-, +, +, +, x_4, u-, x_6, x_4, u-, *, x_2, x_6, sin, u-, **, *, x_3, x_0, x_3]",((((x_4+-(x_6))+x_4)+-((x_2*x_6)))-sin(-(((x_3*x_0)**x_3)))),20.24198532104492,-54.0,201,not_specified,phi,windspeed,- x_{2} x_{6} + x_{4} + x_{4} - x_{6} - \sin{\left(- \left(x_{0} x_{3}\right)^{x_{3}} \right)}
"[+, +, x_4, u-, x_6, +, -, x_4, sin, +, x_3, x_6, +, x_4, x_2]",((x_4+-(x_6))+((x_4-sin((x_3+x_6)))+(x_4+x_2))),20.828054428100582,-64.19999694824219,201,not_specified,phi,windspeed,x_{2} + x_{4} + x_{4} + x_{4} - x_{6} - \sin{\left(x_{3} + x_{6} \right)}
"[+, +, +, x_4, u-, x_6, x_4, u-, *, x_2, x_6]",(((x_4+-(x_6))+x_4)+-((x_2*x_6))),21.437707901000977,-73.9000015258789,201,not_specified,phi,windspeed,- x_{2} x_{6} + x_{4} + x_{4} - x_{6}
"[+, x_2, +, -, x_4, sin, +, x_3, x_6, x_4]",(x_2+((x_4-sin((x_3+x_6)))+x_4)),21.13147735595703,-66.69999694824219,201,not_specified,phi,windspeed,x_{2} + x_{4} + x_{4} - \sin{\left(x_{3} + x_{6} \right)}
"[-, +, +, +, x_4, u-, x_6, x_4, u-, *, x_2, x_6, sin, u-, **, sin, x_1, x_3]",((((x_4+-(x_6))+x_4)+-((x_2*x_6)))-sin(-((sin(x_1)**x_3)))),20.23945999145508,-46.29999923706055,201,not_specified,phi,windspeed,- x_{2} x_{6} + x_{4} + x_{4} - x_{6} - \sin{\left(- \sin^{x_{3}}{\left(x_{1} \right)} \right)}
"[+, +, sqrt, **, -, x_6, x_6, x_3, x_4, -, +, x_2, x_4, -, x_6, x_4]",((sqrt(abs(((x_6-x_6)**x_3)))+x_4)+((x_2+x_4)-(x_6-x_4))),20.364276885986328,-56.09999847412109,201,not_specified,phi,windspeed,x_{2} + x_{4} + x_{4} - \left(- x_{4} + x_{6}\right) + \sqrt{\left|{\left(- x_{6} + x_{6}\right)^{x_{3}}}\right|}
"[-, +, +, x_4, x_4, u-, x_6, sin, u-, **, *, x_3, x_2, x_3]",(((x_4+x_4)+-(x_6))-sin(-(((x_3*x_2)**x_3)))),20.48551750183105,-56.5,201,not_specified,phi,windspeed,x_{4} + x_{4} - x_{6} - \sin{\left(- \left(x_{2} x_{3}\right)^{x_{3}} \right)}
[x_4],x_4,23.15311622619629,-78.9000015258789,202,not_specified,phi,windspeed,x_{4}
"[+, x_2, x_4]",(x_2+x_4),22.534421920776367,-78.0,202,not_specified,phi,windspeed,x_{2} + x_{4}
"[-, x_6, +, +, x_2, x_4, x_4]",(x_6-((x_2+x_4)+x_4)),21.51306533813477,-76.19999694824219,202,not_specified,phi,windspeed,x_{6} - \left(x_{2} + x_{4} + x_{4}\right)
"[-, x_6, +, x_4, x_4]",(x_6-(x_4+x_4)),21.78754425048828,-77.0999984741211,202,not_specified,phi,windspeed,x_{6} - \left(x_{4} + x_{4}\right)
"[-, +, x_5, -, *, -2.04, x_4, **, exp, -2.54, x_3, **2, cos, -, x_4, -, x_6, -4.35]",((x_5+((-2.04*x_4)-(exp(-2.54)**x_3)))-(cos((x_4-(x_6--4.35))))**2),20.55842018127441,-47.900001525878906,202,not_specified,phi,windspeed,- 2.04 x_{4} + x_{5} - \left(e^{-2.54}\right)^{x_{3}} - \cos^{2}{\left(x_{4} - \left(x_{6} - -4.35\right) \right)}
"[-, +, 3.47, -, *, x_2, -0.88, u-, x_6, +, x_4, x_4]",((3.47+((x_2*-0.88)--(x_6)))-(x_4+x_4)),21.51298141479492,-73.69999694824219,202,not_specified,phi,windspeed,x_{2} \left(-0.88\right) - - x_{6} - \left(x_{4} + x_{4}\right) + 3.47
"[-, +, 3.47, -, -, sin, x_3, u-, x_6, x_2, +, x_4, x_4]",((3.47+((sin(x_3)--(x_6))-x_2))-(x_4+x_4)),20.8034610748291,-65.0999984741211,202,not_specified,phi,windspeed,- x_{2} - - x_{6} - \left(x_{4} + x_{4}\right) + \sin{\left(x_{3} \right)} + 3.47
"[-, +, -, -, sin, x_3, u-, x_6, -1.35, -, *, -2.04, x_4, **, exp, -2.54, x_3, **2, cos, -, x_4, -, x_6, -4.35]",((((sin(x_3)--(x_6))--1.35)+((-2.04*x_4)-(exp(-2.54)**x_3)))-(cos((x_4-(x_6--4.35))))**2),20.279823303222656,-41.29999923706055,202,not_specified,phi,windspeed,- 2.04 x_{4} - - x_{6} - \left(e^{-2.54}\right)^{x_{3}} + \sin{\left(x_{3} \right)} - \cos^{2}{\left(x_{4} - \left(x_{6} - -4.35\right) \right)} - -1.35
"[+, -, -, sin, x_3, u-, x_6, -1.35, -, *, -2.04, x_4, **, exp, -2.54, x_3]",(((sin(x_3)--(x_6))--1.35)+((-2.04*x_4)-(exp(-2.54)**x_3))),20.626596450805664,-52.20000076293945,202,not_specified,phi,windspeed,- 2.04 x_{4} - - x_{6} - \left(e^{-2.54}\right)^{x_{3}} + \sin{\left(x_{3} \right)} - -1.35
"[-, +, 3.47, -, -, sin, x_3, sin, x_4, u-, x_6, +, x_2, x_4]",((3.47+((sin(x_3)-sin(x_4))--(x_6)))-(x_2+x_4)),20.7495059967041,-61.0,202,not_specified,phi,windspeed,- \left(-1\right) x_{6} - \left(x_{2} + x_{4}\right) + \sin{\left(x_{3} \right)} - \sin{\left(x_{4} \right)} + 3.47
"[-, x_6, +, -, x_4, sin, *, x_4, x_2, x_4]",(x_6-((x_4-sin((x_4*x_2)))+x_4)),21.40489196777344,-66.69999694824219,202,not_specified,phi,windspeed,x_{6} - \left(x_{4} + x_{4} - \sin{\left(x_{2} x_{4} \right)}\right)
"[-, +, -, -, sin, x_3, u-, x_6, -1.35, -, *, -2.04, x_4, **, exp, -2.54, x_3, **2, x_4]",((((sin(x_3)--(x_6))--1.35)+((-2.04*x_4)-(exp(-2.54)**x_3)))-(x_4)**2),20.554767608642575,-47.20000076293945,202,not_specified,phi,windspeed,- x_{4}^{2} - 2.04 x_{4} - - x_{6} - \left(e^{-2.54}\right)^{x_{3}} + \sin{\left(x_{3} \right)} - -1.35
